id,title,category_id,created_at,views,likes,posts_count,num_words,url
16730,Tandsikring - udvidelse af gratis tandbehandling,138,2026-03-01T13:21:00.129Z,311,0,1,1714,https://dialog.alternativet.dk/t/16730
16729,Tandsikring - udvidelse af gratis tandbehandling,138,2026-03-01T13:20:20.884Z,301,0,1,1692,https://dialog.alternativet.dk/t/16729
16615,"Ved valg: Udskift den nuværende d'Hondtske metode med den mere retvisende Sainte-Laguë-metoden, når stemmer skal veksles til mandater. Den d'Hondske favoriserer store partier",138,2026-01-02T14:20:41.739Z,833,1,3,337,https://dialog.alternativet.dk/t/16615
16579,De alternative 'jernmarker',138,2025-11-27T17:41:55.940Z,687,0,1,218,https://dialog.alternativet.dk/t/16579
16498,Udskiftning af Google Search med Ecosia Search i Offentlige Institutioner,282,2025-09-08T05:35:28.775Z,1073,0,3,650,https://dialog.alternativet.dk/t/16498
16410,Forslag til ændring af lov om arkæologiske fund,139,2025-07-16T08:16:47.256Z,1441,0,8,383,https://dialog.alternativet.dk/t/16410
16107,Handikap og boligforhold,282,2024-11-20T15:17:58.364Z,548,0,1,915,https://dialog.alternativet.dk/t/16107
15856,"Alternativets interne organer bør afsøge, om kræfter i, og i nærheden af partiet, kan opstarte spæde planer for et Nordisk Institut for Økologisk Balance",138,2024-04-09T21:35:33.121Z,499,1,1,176,https://dialog.alternativet.dk/t/15856
15846,Omstillingsdage. Tillæg til vores punkt 'Ny politisk kultur' (eller et eventuelt mere passende punkt / en mere passende sektion),282,2024-04-07T17:03:06.056Z,676,0,3,259,https://dialog.alternativet.dk/t/15846
15855,Ændring af bestemt ordlyd i landbrugsudspillet,282,2024-04-09T12:49:40.564Z,575,0,1,329,https://dialog.alternativet.dk/t/15855
15847,Vil skal tilføje et vigtigt tillæg til vores politikpunkt ‘Erhverv og iværksætteri’,282,2024-04-07T17:04:21.369Z,608,0,1,146,https://dialog.alternativet.dk/t/15847
15845,"Alternativets interne organer bør afsøge, om kræfter i, og i nærheden af partiet, kan opstarte spæde planer for et Nordisk Institut for Økologisk Balance",138,2024-04-07T17:01:16.454Z,514,0,1,176,https://dialog.alternativet.dk/t/15845
15844,“Digital bæredygtighed – IT” udvides med sektion om SoMe,282,2024-04-07T16:15:16.050Z,527,0,1,247,https://dialog.alternativet.dk/t/15844
15197,Øget frihed til skolerne,138,2023-12-18T10:36:51.625Z,707,0,1,164,https://dialog.alternativet.dk/t/15197
10751,Mindre trafikstøj - afgift på dæk,282,2019-09-01T14:14:32.608Z,4721,2,5,490,https://dialog.alternativet.dk/t/10751
14764,"Fjernelse af komplementære metoder, kiropraktik og akupunktur fra politiske visioner",282,2023-04-30T13:42:53.425Z,2394,9,13,206,https://dialog.alternativet.dk/t/14764
14799,Minihuse med have,138,2023-05-16T17:19:09.379Z,771,2,1,157,https://dialog.alternativet.dk/t/14799
13961,Det offentlige bør ikke kunne tjene penge på at fælde træer,138,2022-02-15T10:06:36.390Z,3437,5,10,232,https://dialog.alternativet.dk/t/13961
13750,Afskaffelse af overarbejde,282,2021-09-18T22:21:54.062Z,1395,1,3,279,https://dialog.alternativet.dk/t/13750
14412,Teknologiforståelse på skoleskemaet,282,2022-11-01T21:58:33.453Z,4020,12,9,427,https://dialog.alternativet.dk/t/14412
14475,Krav om solceller på nye tag,138,2022-11-22T20:46:15.556Z,1684,1,7,214,https://dialog.alternativet.dk/t/14475
14397,Ingen valgplakater mere,282,2022-10-26T13:14:22.562Z,4434,2,6,325,https://dialog.alternativet.dk/t/14397
14398,Ingen valgplakater mere,282,2022-10-26T13:14:31.638Z,2968,0,2,325,https://dialog.alternativet.dk/t/14398
14396,Ingen valgplakater mere,138,2022-10-26T13:12:44.293Z,1907,0,1,21,https://dialog.alternativet.dk/t/14396
14219,"Udarbejdelse af en CSR-strategi på de væsentligste områder, så samfundet drives mere som en ansvarlig virksomhed, med en god transparens, socialt orienteret ledelsesstil og krav til samarbejdspartnere",282,2022-08-25T12:28:18.980Z,2042,1,4,612,https://dialog.alternativet.dk/t/14219
10913,"""Å"" kageform",282,2019-11-03T08:25:47.858Z,3202,2,6,185,https://dialog.alternativet.dk/t/10913
13981,Fremtidens jobcenter - Projekt Virkelyst - eller hvad skal barnet hedde?,138,2022-02-23T09:00:37.919Z,2151,3,5,692,https://dialog.alternativet.dk/t/13981
13894,Billigst strøm til de som bruger mindst,138,2021-12-26T19:39:10.894Z,2933,13,19,429,https://dialog.alternativet.dk/t/13894
13853,"Byg på land, ikke i vand",138,2021-11-22T09:23:00.229Z,1989,0,13,351,https://dialog.alternativet.dk/t/13853
13895,Billigst strøm til de som bruger mindst,138,2021-12-26T19:42:02.791Z,1151,0,2,429,https://dialog.alternativet.dk/t/13895
13721,Naturen i fokus,282,2021-09-06T07:58:44.333Z,4685,5,27,433,https://dialog.alternativet.dk/t/13721
10320,Sundt arbejdsmiljø forebygger tidlig pensionering,138,2019-05-04T23:06:42.274Z,4357,3,11,372,https://dialog.alternativet.dk/t/10320
10762,Fokus på lydgener i det offentlige rum,282,2019-09-04T12:09:29.052Z,3556,4,10,488,https://dialog.alternativet.dk/t/10762
13669,Mindske forbruget,138,2021-08-08T17:08:24.856Z,4907,6,42,534,https://dialog.alternativet.dk/t/13669
10823,Kørekort skal da tages i en elbil,282,2019-09-27T15:21:27.836Z,5223,11,13,478,https://dialog.alternativet.dk/t/10823
13751,Afskaffelse af overarbejde,282,2021-09-18T22:22:08.464Z,952,0,1,366,https://dialog.alternativet.dk/t/13751
13752,Afskaffelse af overarbejde,282,2021-09-18T22:32:51.104Z,891,0,1,279,https://dialog.alternativet.dk/t/13752
10281,"Forsvaret i udvikling som tillæg til ""Danmark som humanitær stormagt""",138,2019-04-30T12:30:52.861Z,1710,0,3,322,https://dialog.alternativet.dk/t/10281
13698,Ret til egne data,138,2021-08-25T09:18:42.106Z,1133,0,2,486,https://dialog.alternativet.dk/t/13698
11480,Støtte til Religion og sekter,282,2020-02-02T15:23:19.606Z,2256,4,9,325,https://dialog.alternativet.dk/t/11480
7595,Skærmfrie eksperimentalzoner,140,2018-01-10T09:30:07.057Z,2426,2,3,503,https://dialog.alternativet.dk/t/7595
9844,Minimering af energiforbrug i boliger,138,2019-02-08T10:16:30.142Z,4268,17,19,278,https://dialog.alternativet.dk/t/9844
10912,Julehilsen fra Alternativet,282,2019-11-03T08:13:25.027Z,2127,2,2,407,https://dialog.alternativet.dk/t/10912
10206,Hensigtsmæssig –og human- rygepolitik,138,2019-04-14T13:05:28.168Z,2042,2,4,212,https://dialog.alternativet.dk/t/10206
7219,Videnskabelig undersøgelse af brændeovnes farlighed,140,2017-11-12T15:10:09.519Z,7315,24,23,485,https://dialog.alternativet.dk/t/7219
11754,Ny pengepolitik og gennemførelse af en pengereform nu,138,2020-02-23T15:32:07.370Z,6050,39,43,743,https://dialog.alternativet.dk/t/11754
10862,CO2 afgift i energi og transport sektoren på 3.700 Kr pr ton CO2,139,2019-10-10T14:01:04.746Z,8540,6,25,815,https://dialog.alternativet.dk/t/10862
12099,Huslejehenstand for selvstændige,282,2020-03-15T18:02:39.435Z,1737,6,5,309,https://dialog.alternativet.dk/t/12099
11571,Indførelse af huslejeloft,282,2020-02-05T18:21:26.368Z,1848,4,5,427,https://dialog.alternativet.dk/t/11571
8097,Fleksjob ordning,138,2018-03-02T13:05:55.905Z,2788,12,7,123,https://dialog.alternativet.dk/t/8097
6667,Bedre vejledning til valg af ungdomsuddannelse,138,2017-09-25T08:49:26.253Z,1673,2,3,295,https://dialog.alternativet.dk/t/6667
10221,MADEN på dagsordenen - viden om fordele og ulemper,282,2019-04-16T13:21:51.450Z,2807,5,5,426,https://dialog.alternativet.dk/t/10221
8081,Outreach to EU nationals in Denmark against language course hikes and unemployment benefit reforms,138,2018-02-28T11:15:57.506Z,1514,0,2,260,https://dialog.alternativet.dk/t/8081
7642,"Psykisk sundhed skal være gratis, det betaler sig",138,2018-01-19T13:18:04.926Z,4646,21,17,340,https://dialog.alternativet.dk/t/7642
9338,Investeringer i kollektiv trafik både i DK og EU,138,2018-11-09T13:41:04.754Z,2194,9,5,452,https://dialog.alternativet.dk/t/9338
10750,Mindre dækstøj - bedre helbred,138,2019-09-01T14:14:26.731Z,810,1,1,45,https://dialog.alternativet.dk/t/10750
10219,Reducer bureaukratiet og skab ny politisk kultur; nedlæg stat og regioner,282,2019-04-16T11:22:14.443Z,2679,3,6,298,https://dialog.alternativet.dk/t/10219
6818,"Forbud mod diskrimination pga. handicap, sygdom og funktionsnedsættelser i universitetslovgivningen",140,2017-10-13T10:18:22.672Z,18064,31,59,1098,https://dialog.alternativet.dk/t/6818
3322,Restriktioner mod spekulation af landbrugsjord: grønne kort,140,2016-09-25T12:36:22.358Z,2218,1,9,205,https://dialog.alternativet.dk/t/3322
10188,Formindsk co2 udslippet - arbejd hjemmefra,138,2019-04-09T20:13:03.468Z,1357,1,4,426,https://dialog.alternativet.dk/t/10188
3327,Udfasning af fossile brændsler i landbruget,140,2016-09-25T12:47:59.801Z,2595,1,12,171,https://dialog.alternativet.dk/t/3327
9929,Kræv 5G stoppet: Adoptér en verdensomfattende forskerappel,138,2019-02-20T11:25:55.458Z,10860,198,71,468,https://dialog.alternativet.dk/t/9929
5217,Strammere betingelser for partistøtte,140,2017-04-06T14:18:42.901Z,3819,6,9,322,https://dialog.alternativet.dk/t/5217
7106,Barselsfond for selvstændige,140,2017-11-06T14:01:38.350Z,3648,2,13,479,https://dialog.alternativet.dk/t/7106
7590,Ny tværgående familievejleder,140,2018-01-10T09:12:44.064Z,2583,2,6,515,https://dialog.alternativet.dk/t/7590
6791,Fuld inkorporering af FN's Handicapkonvention i dansk lov og ret,140,2017-10-10T13:22:11.407Z,12581,29,33,438,https://dialog.alternativet.dk/t/6791
7529,"Klar positionering af Alternativets holdning til ethvert menneskesyn og enhver form for politik, lovgivning mv., der straffer mennesker for at være syge, funktionsnedsatte eller handicappede",140,2017-12-30T11:04:15.267Z,13042,50,46,1076,https://dialog.alternativet.dk/t/7529
8465,Lige forhold for religion,138,2018-05-04T12:52:52.385Z,3154,1,4,427,https://dialog.alternativet.dk/t/8465
6588,Vi skal have fremtidens pengesystem på den politiske dagsorden i Danmark,140,2017-09-17T11:03:12.929Z,10139,50,33,973,https://dialog.alternativet.dk/t/6588
8556,Fokus på Cykeltyverier,138,2018-05-28T12:44:06.504Z,1664,3,3,205,https://dialog.alternativet.dk/t/8556
5052,Oprettelse af et forskningscenter for komplementær behandling,140,2017-03-20T14:14:49.632Z,1700,2,3,130,https://dialog.alternativet.dk/t/5052
7103,Sprogstrategi - Økonomisk opprioritering af ikke-engelske fremmedsprog & afskaffelse af dimensionering på samme,140,2017-11-06T13:02:36.545Z,15267,12,56,1320,https://dialog.alternativet.dk/t/7103
4560,Oprettelse af kommunale iværksætterhuse,140,2017-02-03T07:53:16.513Z,1714,1,8,329,https://dialog.alternativet.dk/t/4560
7252,E-learning i folkeskolen,138,2017-11-15T23:16:28.483Z,2104,3,5,649,https://dialog.alternativet.dk/t/7252
7105,Bedre barsel og genindførsel af børnepasningsorloven,140,2017-11-06T13:57:53.607Z,6434,27,23,669,https://dialog.alternativet.dk/t/7105
7594,"Flere ressourcer til daginstitutionerne – og frihed til at anvende dem efter lokal, faglig vurdering",140,2018-01-10T09:26:33.516Z,2212,0,4,1070,https://dialog.alternativet.dk/t/7594
7592,Plads til refleksiv efteruddannelse,140,2018-01-10T09:20:43.985Z,1610,0,3,932,https://dialog.alternativet.dk/t/7592
7593,Etablering af børneinstitutionsmiljølov,140,2018-01-10T09:23:29.003Z,1831,1,4,882,https://dialog.alternativet.dk/t/7593
7591,Bedre mulighed for pasning på skæve tidspunkter,140,2018-01-10T09:17:32.138Z,1855,4,6,441,https://dialog.alternativet.dk/t/7591
5961,Giv de hjemløse gratis adgang til offentlige toiletter,138,2017-06-16T12:28:49.329Z,2100,2,4,212,https://dialog.alternativet.dk/t/5961
